Var1,M_1,M_2,M_3,M_4,M_5,M_6,M_7,M_8,M_9,M_10,M_11,M_12,M_13,M_14,M_15,M_16,M_17,M_18
PED_T_11,0.514034358493442,63.2781257114061,0.0957609428860238,0.13969038805557,0.0775995446016908,0.064802381354996,50.4285714285714,0.061006055430873,0.0285846889137484,1.28303840110299,0.0625005374221492,0.0969092352875555,0.0510406299082736,0.0437749880130255,54.5714285714286,0.112157218799726,0.0272832859869274,0.819027053358455
PED_T_12,0.505475812615425,62.2664660637378,0.0879166693777073,0.117448244430765,0.0732398408927743,0.0556040137210343,39.7857142857143,0.0719009710621402,0.0297571032781175,0.646043861878539,0.0732404800951322,0.0924764642854685,0.0610451013904139,0.0452788687697123,46.1428571428571,0.0938420885164797,0.0302928580868845,0.286744674392235
PED_T_13,0.503720618734764,62.860053854165,0.0638095947000717,0.0927012109834618,0.049760600052282,0.042838033769311,57.8571428571429,0.0831728177763112,0.027394577735897,0.449543114121428,0.100030221794851,0.131058537932217,0.0802223914891996,0.0660481528920829,56.2142857142857,0.116488003992255,0.0291020746545595,0.591728575613835
PED_T_14,0.513584242161758,75.887529987658,0.10510075914924,0.12472097843119,0.0932163107491942,0.0633535578162458,47.6428571428571,0.0643489728321463,0.03220924061974,0.529571198212971,0.0850397109326093,0.0997724487512249,0.0750710224163431,0.0505595718631914,40.9285714285714,0.0462301645183327,0.0320291465134139,0.421654760230609
PED_T_15,0.516364628837258,134.243088095426,0.15564671116415,0.193321024410041,0.131305129174284,0.10008355825601,47.1428571428571,0.0472679276063186,0.03051534378115,1.37615015764232,0.176983510182823,0.219766949086454,0.150395424692481,0.11450713701707,55.0714285714286,0.0499701996311087,0.0305501845964909,2.2292289565309
PED_T_16,0.510222429289105,84.0841449265226,0.104720312940184,0.12508744539441,0.0907745258354388,0.0642897161196656,61.2857142857143,0.0362645935795872,0.0312262007916228,0.71194621834765,0.108811043476991,0.135584001519096,0.0921687330668435,0.0690227622957596,51.3571428571429,0.0454808400389254,0.0304887058253502,0.855185875400149
PED_T_17,0.514278351984664,74.5798387728488,0.0959243451494322,0.136189735295994,0.0746158551391621,0.0659365784224652,51.7142857142857,0.0734012573220985,0.0274174412457725,1.10865366656882,0.0904211321529051,0.121416007866917,0.0738108394491438,0.0584662896902351,48.8571428571429,0.0715168768726005,0.0293481825810311,0.499688186771365
PED_T_18,0.499294681207493,103.735582369196,0.145329443749078,0.174942684477906,0.126128361853714,0.091070694915736,44.7142857142857,0.0237652979669313,0.0309705038013931,1.81629360887115,0.129878657895684,0.164717821111471,0.110011054827841,0.0846838076369281,42.2857142857143,0.0352863159758608,0.0296483972551357,2.29165237009041
PED_T_19,0.524091579111557,40.4878765736309,0.050053847441228,0.0667607243269895,0.042165289687677,0.0305603855842448,34.4285714285714,0.0657659962964201,0.0300546232966617,0.224089277903814,0.0472095438901366,0.0674361705453523,0.0381943500885779,0.0305866386685071,50.6428571428571,0.0602750119266939,0.0282384615768839,0.280533763921185
PED_T_20,0.537043122879372,17.345795733669,0.0223011121909571,0.0333922560299225,0.0180045672008806,0.0152181358123286,53.6428571428571,0.0816897825994103,0.0278131731847248,0.105783534409138,0.0172568406317144,0.0273559109881819,0.0133238512750886,0.0118337519241792,68.0714285714286,0.123663102200287,0.0266143641170224,0.0441959587910356
PED_T_21,0.521066470697105,41.2966082057878,0.0533560019949164,0.0736211984747366,0.0447645827039665,0.0341075487277261,47.3571428571429,0.0506926981508135,0.029039724845921,0.462654637703497,0.0470604095719785,0.0646320857333362,0.0385550965311281,0.0307801068693925,44.7142857142857,0.0901813284340885,0.028710602975185,0.251416021988719
PED_T_22,0.499563250337432,53.0411487829179,0.0647907605698591,0.0968277263575013,0.051874117205488,0.0445359515539471,49.0714285714286,0.103399578555185,0.027561333387726,0.575067137373461,0.0757750928955395,0.106092221525445,0.0617719628593906,0.0504652008428881,55.1428571428571,0.0970969506894149,0.0289625278488717,0.675625951410105
